lat,lon,polygon,GEOID
26.932602,-80.118594,18063,12099000204
26.764076,-80.10151,14612,12099001002
25.770827,-80.264645,18060,12086005600
25.833883,-80.313867,16193,12086009100
37.764986,-77.476715,68546,51085320601
34.850504,-82.322852,59224,45045001808
35.105398,-81.208515,59047,45091061802
42.562222,-70.88959,31522,25009217300
38.893647,-76.539373,30544,24003701400
36.145081,-115.227058,39960,32003002905
40.867403,-73.906405,43384,36005026100
34.889277,-82.215666,59533,45083023202
34.889453,-82.215505,59533,45083023202
30.251357,-97.689015,66004,48453002111
30.18534,-97.801184,65929,48453002423
30.422284,-97.71646,63399,48453001828
30.268887,-97.738936,65214,48453001100
37.390383,-122.0827,6424,06085509600
37.38237,-121.970806,11317,06085505202
38.447533,-78.870744,68636,51660000302
45.256075,-94.107832,35859,27171100400
36.547921,-82.56179,60603,47163040200
43.002006,-89.423463,72165,55025001403
43.074008,-89.397267,71923,55025001603
43.058323,-89.410359,71351,55025001200
35.279705,-120.6609,5713,06079011102
35.92353,-78.599883,50021,37183053808
47.604115,-122.332907,70540,53033008100
38.7566,-77.793511,68936,51061930303
45.475962,-122.825561,54331,41067031003
38.889751,-77.08499,68352,51013101802
38.803836,-77.516487,68952,51153901503
47.434021,-122.273183,70426,53033028802
47.22213,-122.478493,69809,53053062600
26.642789,-81.869132,14076,12071080300
28.463514,-81.461419,16285,12095017001
28.503733,-81.422651,16935,12095014504
27.951258,-82.451781,17997,12057005101
42.277419,-83.749477,32877,26161400500
42.374558,-83.281933,32618,26163555300
40.350118,-74.662732,41023,34021004000
29.343808,-98.436931,64998,48029192200
21.30703,-157.857725,20485,15003003900
21.309472,-157.857848,20435,15003004100
21.302295,-157.861322,20485,15003003900
21.272311,-157.829357,,
21.272518,-157.823246,20506,15003001801
40.714413,-111.900552,66705,49035111500
41.96108,-71.494611,58488,44007012803
34.138312,-84.251109,18690,13117130601
41.071157,-73.549133,13219,09001021200
47.255854,-122.44172,69363,53053061601
27.499076,-82.569442,16819,12081000101
28.429987,-81.475116,17704,12095017107
28.499373,-81.303897,14433,12095013508
28.51288,-81.358702,17794,12095013801
27.709441,-82.736735,16824,12103028002
42.232376,-71.019877,31394,25021418003
42.964844,-85.681992,32657,26081001900
42.499039,-83.439339,32813,26125136000
39.09971237,-84.50933838,52009,39061026500
29.94917,-95.33138,66054,48201241500
47.568871,-122.145285,69641,53033024901
47.601657,-122.036938,70388,53033032203
27.493279,-82.573234,16819,12081000101
21.279142,-157.831689,20537,15003001901
21.277846,-157.825052,20231,15003002004
35.779082,-78.641779,50022,37183050100
35.777283,-78.639281,50022,37183050100
35.760503,-78.625345,49798,37183050800
35.862603,-78.643641,48067,37183053716
35.800443,-78.663445,47894,37183051400
35.788789,-78.573106,49779,37183054106
35.767483,-78.563464,49779,37183054106
35.767483,-78.563464,49779,37183054106
40.632138,-80.054285,57093,42003409000
41.823099,-71.347614,58389,44007010300
40.505132,-88.994211,22030,17113000200
40.496969,-89.004735,21264,17113000301
40.507954,-88.986429,22785,17113000102
29.920829,-90.117642,28422,22071011400
29.9347,-90.120883,28938,22071012102
